city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Vigan,17.5747,120.3869,Philippines,PH,Ilocos Sur,admin,53879,53879
Palayan City,15.5333,121.0833,Philippines,PH,Nueva Ecija,admin,41041,41041
Catarman,12.4989,124.6377,Philippines,PH,Northern Samar,admin,,
La Trinidad,16.4556,120.5903,Philippines,PH,Benguet,admin,,
Kalibo,11.7086,122.3648,Philippines,PH,Aklan,admin,,
San Jose,10.745,121.9415,Philippines,PH,Antique,admin,,
Daet,14.1122,122.9553,Philippines,PH,Camarines Norte,admin,,
Virac,13.5848,124.2374,Philippines,PH,Catanduanes,admin,,
Bayombong,16.4812,121.1497,Philippines,PH,Nueva Vizcaya,admin,,
Jolo,6.0522,121.0022,Philippines,PH,Sulu,admin,,
Bongao,5.0292,119.7731,Philippines,PH,Tawi-Tawi,admin,,
Baclayon,9.625,123.9109,Philippines,PH,Bohol,minor,,
Argao,9.8814,123.6007,Philippines,PH,Cebu,minor,,
Isulan,6.6294,124.6051,Philippines,PH,Sultan Kudarat,admin,,
Candelaria,13.9311,121.4233,Philippines,PH,Quezon,minor,,
San Juan,13.8285,121.3931,Philippines,PH,Batangas,minor,,
Tiaong,13.9638,121.3212,Philippines,PH,Quezon,minor,,
Boac,13.4463,121.84,Philippines,PH,Marinduque,admin,,
Perez,14.1946,121.9264,Philippines,PH,Quezon,minor,,
Tubod,8.0555,123.7904,Philippines,PH,Lanao del Norte,admin,,
Mamburao,13.2233,120.596,Philippines,PH,Occidental Mindoro,admin,,
Nabunturan,7.6029,125.9629,Philippines,PH,Compostela Valley,admin,,
Malita,6.415,125.6117,Philippines,PH,Davao Occidental,admin,,
Badian,9.8691,123.3947,Philippines,PH,Cebu,minor,,
Bangued,17.5982,120.6155,Philippines,PH,Abra,admin,,
Mambajao,9.2504,124.7156,Philippines,PH,Camiguin,admin,,
Naval,11.5612,124.3952,Philippines,PH,Biliran,admin,,
Barobo,8.5365,126.1196,Philippines,PH,Surigao del Sur,minor,,
Alcantara,9.9717,123.4028,Philippines,PH,Cebu,minor,,
Iba,15.3276,119.978,Philippines,PH,Zambales,admin,,
Lingayen,16.0218,120.2319,Philippines,PH,Pangasinan,admin,,
Dauis,9.6253,123.8658,Philippines,PH,Bohol,minor,,
